jumpHeight,takeOffVelocity,bodyWeight,pushOffDistance,maxPower,maxPowerRelative,slope,slopeRelative
0.475570993,3.054619926,70,0.35,3762.748773,53.75355391,-1303.496344,-18.62137635
0.457559662,2.996217711,75,0.35,3765.5339,50.20711866,-1317.476895,-17.5663586
0.44020308,2.938840659,80,0.35,3767.384716,47.09230895,-1330.67303,-16.63341287
0.423514011,2.882593432,85,0.35,3768.438574,44.33457146,-1343.25606,-15.80301247
0.407488644,2.827530228,90,0.35,3768.795179,41.87550199,-1355.362027,-15.05957808
0.268786581,2.296430428,70,0.35,1837.438378,26.24911969,-476.879487,-6.812564099
0.242413937,2.180862547,75,0.35,1833.619772,24.44826363,-478.6937176,-6.382582901
0.219959588,2.077403935,80,0.35,1833.22824,22.915353,-478.7601671,-5.984502089
0.199264309,1.977262185,85,0.35,1837.257229,21.61479093,-476.2486426,-5.602925207
0.181069428,1.88482948,90,0.35,1836.39547,20.40439412,-475.4257684,-5.282508538
0.352722189,2.63066709,70,0.35,2312.584108,33.03691583,-585.7920908,-8.36845844
0.325576581,2.527412219,75,0.35,2307.851884,30.77135846,-589.7039168,-7.862718891
0.300641763,2.428701584,80,0.35,2305.28077,28.81600962,-591.5682317,-7.394602896
0.277648379,2.333979689,85,0.35,2300.784934,27.06805804,-594.3100268,-6.991882668
0.258290239,2.251145149,90,0.35,2293.994174,25.48882416,-598.2679387,-6.647421541
0.428847321,2.900686892,70,0.35,2783.018922,39.75741317,-697.2648265,-9.960926093
0.398317288,2.795529502,75,0.35,2775.755875,37.01007834,-701.2988233,-9.350650977
0.37324492,2.706116283,80,0.35,2768.904628,34.61130785,-707.363328,-8.8420416
0.349837794,2.619888837,85,0.35,2764.752023,32.52649439,-707.2913429,-8.321074622
0.325576581,2.527412219,90,0.35,2759.324301,30.6591589,-713.3576784,-7.926196426
0.491137783,3.104210577,70,0.35,3252.848432,46.46926331,-800.465062,-11.43521517
0.464156434,3.017739095,75,0.35,3251.523847,43.3536513,-804.9547267,-10.73272969
0.435708126,2.923797776,80,0.35,3244.564518,40.55705647,-808.3756727,-10.10469591
0.412430802,2.844625167,85,0.35,3237.069405,38.08316947,-812.9237917,-9.563809314
0.387812448,2.758419879,90,0.35,3239.883557,35.99870619,-813.8758873,-9.043065414
0.550079852,3.285204208,70,0.35,3724.045799,53.20065428,-902.8036816,-12.89719545
0.519633223,3.192992928,75,0.35,3722.901173,49.6386823,-906.0236576,-12.08031543
0.491137783,3.104210577,80,0.35,3716.150717,46.45188396,-913.8594924,-11.42324365
0.468202404,3.030863106,85,0.35,3710.398441,43.65174637,-924.9377086,-10.8816201
0.443490201,2.949792831,90,0.35,3708.815313,41.20905904,-918.2501937,-10.20277993
0.600476213,3.432396147,70,0.35,4194.440671,59.92058101,-996.7105643,-14.23872235
0.57044166,3.345454434,75,0.35,4193.887048,55.91849397,-1005.481424,-13.40641899
0.5422989,3.261886636,80,0.35,4187.916345,52.34895432,-1013.074396,-12.66342995
0.515910182,3.18153387,85,0.35,4186.282186,49.25037866,-1021.242864,-12.01462193
0.491137783,3.104210577,90,0.35,4183.983955,46.48871061,-1029.225744,-11.4358416
0.646416577,3.56127691,70,0.35,4663.55403,66.62220043,-1107.14344,-15.81633486
0.617210527,3.479895192,75,0.35,4659.169421,62.12225895,-1117.142711,-14.89523615
0.589704876,3.401471692,80,0.35,4654.223596,58.17779494,-1126.610113,-14.08262641
0.563789389,3.32589053,85,0.35,4648.772143,54.69143698,-1135.702761,-13.36120895
0.536007645,3.242910728,90,0.35,4649.263656,51.65848507,-1140.423406,-12.67137118
0.310820894,2.469474832,70,0.35,2168.624634,30.98035192,-406.8236485,-5.811766408
0.282020928,2.352286251,75,0.35,2175.915293,29.0122039,-404.4623079,-5.392830772
0.252934567,2.227684044,80,0.35,2173.238421,27.16548027,-405.317866,-5.066473325
0.229033121,2.119818351,85,0.35,2178.075337,25.62441573,-403.7615755,-4.750136183
0.208778141,2.023913813,90,0.35,2184.477934,24.27197704,-401.2180254,-4.45797806
0.414841803,2.852927651,70,0.35,2728.500075,38.97857251,-501.8479848,-7.169256926
0.381731033,2.736706573,75,0.35,2718.785284,36.25047045,-506.9391999,-6.759189332
0.351520678,2.626182726,80,0.35,2713.464855,33.91831069,-508.3532315,-6.354415394
0.323825829,2.520607618,85,0.35,2708.001077,31.8588362,-509.6909751,-5.996364413
